,,,,,,Markup,,Chefpanzee Price,
SKU,Category Name,Product Name,Original Price,Product Description,Category (Internal),Lunch,Dinner,Lunch,Dinner
40001,Soups,Miso Cup,1.99,,,,,2.39,2.39
40002,Soups,Tokyo Bowl,5.99,,,,,7.19,7.19
40003,Soups,Firecracker Cup,2.99,,,,,3.59,3.59
40004,Soups,Bonsai Cup,3.99,,,,,4.79,4.79
40005,Soups,Raging Bull,6.99,,,,,7.69,7.69
40006,From The Grill,Liz's Chicken,7.49,,,,,8.24,8.24
40007,From The Grill,Teriyaki Chicken & Veggies,6.99,,,,,7.69,7.69
40008,From The Grill,Kobe Beef,7.99,,,,,8.79,8.79
40009,From The Grill,Red Dragon,6.99,,,,,7.69,7.69
40010,From The Grill,Hawaiian Chicken,6.99,,,,,7.69,7.69
40011,From The Grill,Curry,6.99,,,,,7.14,7.14
40012,From The Grill,Peanut Chicken,7.49,,,,,8.24,8.24
40013,From The Grill,Sweet and Chili Chicken,7.49,,,,,8.24,8.24
40014,From The Grill,Yakinku,7.99,,,,,8.79,8.79
40015,Tempura Style,Raspberry Chicken,7.99,,,,,8.79,8.79
40016,Tempura Style,Tempura Chicken and Veggies,7.99,,,,,13.19,13.19
40017,Tempura Style,Tempura Veggie Bowl,6.99,,,,,7.69,7.69
40018,Tempura Style,Reloaded Shrimp,7.99,,,,,8.79,8.79
40019,Better Together,Enso,9.99,,,,,10.99,10.99
40020,Better Together,Da Vinci,9.99,,,,,10.99,10.99
40021,Better Together,Wasatch,9.99,,,,,10.99,10.99
40022,Salads,Sesame Ginger Salad,3.99,,,,,4.79,4.79
40023,Salads,Asian Steak Salad,3.99,,,,,4.79,4.79
40024,Salads,Cranberry Walnut Salad,3.99,,,,,4.79,4.79
40025,Salads,Okinawa Salad,3.99,,,,,4.79,4.79
40026,Sushi Rolls,Samurai,4.99,,,,,5.49,5.49
40027,Sushi Rolls,Vegas,4.99,,,,,5.49,5.49
40028,Sushi Rolls,Mario's,4.29,,,,,4.72,4.72
40029,Sushi Rolls,Matrix,3.99,,,,,4.39,4.39
40030,Sushi Rolls,Lotus Roll,4.29,,,,,4.72,4.72
40031,Sushi Rolls,California (Half Size),2.99,,,,,3.29,3.29
40032,Sushi Rolls,Spicy Tuna (Half Size),3.49,,,,,3.84,3.84
40033,Sushi Rolls,Godzilla,3.99,,,,,4.39,4.39
40034,Sides,House Salad,1.49,,,,,1.79,1.79
40035,Sides,Edamame,1.99,,,,,2.39,2.39
40036,Sides,Egg Roll,1.99,,,,,2.39,2.39
40037,Sides,Gyoza,1.99,,,,,2.39,2.39
40038,Sides,Veggie Eggrolls,1.99,,,,,2.39,2.39
40039,Sides,Side Tempura Veggies,2.99,,,,,3.59,3.59
40040,Sides,Tempura Shrimp (5 pc),3.99,,,,,4.79,4.79
40041,Donate,$1 Donation,1,,,,,1,1
40042,Donate,$5 Donation,5,,,,,5,5
40043,Donate,$10 Donation,10,,,,,10,10
40044,Donate,$20 Donation,20,,,,,20,20
40045,Donate,$50 Donation,50,,,,,50,50
40046,Donate,$100 Donation,100,,,,,100,100
,,Miso Bowl,2,,Add - On,,,2.4,2.4
,,Firecracker Bowl,2,,Add - On,,,2.4,2.4
,,Bonsai Bowl,3,,Add - On,,,3.6,3.6
,,Raging Bull Large,4,,Add - On,,,4.4,4.4
,,Liz's Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Teriyaki Chicken & Veggies Large,4,,Add - On,,,4.4,4.4
,,Kobe Beef Large,4,,Add - On,,,4.4,4.4
,,Red Dragon Large,4,,Add - On,,,4.4,4.4
,,Hawaiian Chicken Large,4,,Add - On,,,4.4,4.4
,,Curry Large,4,,Add - On,,,4.95,4.95
,,Peanut Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Sweet and Chili Chicken Large,4.5,,Add - On,,,4.95,4.95
,,Yakinku Large,4,,Add - On,,,4.4,4.4
,,Raspberry Chicken Large,4,,Add - On,,,4.4,4.4
,,Tempura Chicken and Veggies Large,4,,Add - On,,,4.4,4.4
,,Reloaded Shrimp Large,4,,Add - On,,,4.4,4.4
,,Sesame Ginger Salad Large,3,,Add - On,,,2.9,2.9
,,Asian Steak Salad Large,3,,Add - On,,,2.9,2.9
,,Cranberry Walnut Salad Large,3,,Add - On,,,2.9,2.9
,,Okinawa Salad Large,3,,Add - On,,,2.9,2.9
,,Samurai Full,3,,Add - On,,,3.3,3.3
,,Vegas Full,2.6,,Add - On,,,2.86,2.86
,,Mario's Full,2,,Add - On,,,2.2,2.2
,,Matrix Full,2,,Add - On,,,2.2,2.2
,,Lotus Roll Full,2.7,,Add - On,,,2.97,2.97
,,Godzilla Full,2,,Add - On,,,2.2,2.2
,,Edamame Large,2,,Add - On,,,2.4,2.4
,,Side Tempura Veggies Large,3,,Add - On,,,3.6,3.6